1	0	0
1	1	4652.5
2	0	0
2	1	-5181.6
2	2	-636.18
3	0	0
3	1	-251.38
3	2	468.44
3	3	-429.6
4	0	0
4	1	1560
4	2	-619.84
4	3	417.7
4	4	-258.61
5	0	0
5	1	484.95
5	2	1600.8
5	3	-570.39
5	4	71.659
5	5	69.384
6	0	0
6	1	-361.05
6	2	375.1
6	3	526.04
6	4	-351.97
6	5	20.709
6	6	45.742
7	0	0
7	1	-1826.7
7	2	-489.44
7	3	45.052
7	4	290.2
7	5	-13.584
7	6	-65.874
7	7	-1.1651
8	0	0
8	1	563.06
8	2	-858.06
8	3	530.17
8	4	-312.81
8	5	220.98
8	6	24.715
8	7	-17.297
8	8	1.7548
9	0	0
9	1	-2981.2
9	2	1195.2
9	3	813.23
9	4	-287.52
9	5	-212.25
9	6	135.7
9	7	3.0134
9	8	-3.6176
9	9	5.8469
10	0	0
10	1	827.17
10	2	-42.138
10	3	595.01
10	4	560.98
10	5	-635.67
10	6	-4.132
10	7	-86.186
10	8	-27.821
10	9	-0.26548
10	10	-5.2239
11	0	0
11	1	0
11	2	1022.6
11	3	-196.78
11	4	-95.806
11	5	95.054
11	6	-18.824
11	7	-84.327
11	8	-36.416
11	9	-26.445
11	10	-5.4407
11	11	-1.5079
12	0	0
12	1	-1076.4
12	2	397.56
12	3	908.91
12	4	-876.45
12	5	33.402
12	6	166.64
12	7	-23.411
12	8	35.116
12	9	5.1087
12	10	-8.4892
12	11	0
12	12	0.28388
13	0	0
13	1	-1557.2
13	2	928.51
13	3	1796.4
13	4	-393.65
13	5	-904.64
13	6	-45.155
13	7	80.141
13	8	-14.279
13	9	34.036
13	10	14.194
13	11	-4.0147
13	12	-1.1355
13	13	-0.33405
