1	0	-29405
1	1	-1450.9
2	0	-3749.4
2	1	5165
2	2	1452.3
3	0	3408
3	1	-7290.9
3	2	2393.9
3	3	415.6
4	0	3950.6
4	1	4479.8
4	2	337.7
4	3	-647.16
4	4	35.496
5	0	-1845.1
5	1	3692.5
5	2	1443.3
5	3	-662.16
5	4	-335.44
5	5	9.4711
6	0	952.88
6	1	1238.2
6	2	1089.4
6	3	-1210.5
6	4	-197.54
6	5	31.412
6	6	-43.459
7	0	2161.1
7	1	-2720.5
7	2	-237.48
7	3	1157
7	4	195.11
7	5	39.517
7	6	-17.437
7	7	6.3431
8	0	1191.5
8	1	650.2
8	2	-987.05
8	3	-20.71
8	4	-564.13
8	5	226.91
8	6	94.054
8	7	-41.363
8	8	-0.18801
9	0	474.8
9	1	1070.2
9	2	315.09
9	3	-124.47
9	4	-62.013
9	5	-444.72
9	6	19.138
9	7	66.295
9	8	-24.031
9	9	-7.2477
10	0	-342.81
10	1	-1508.4
10	2	-21.069
10	3	280.98
10	4	-105.18
10	5	51.741
10	6	-37.188
10	7	38.082
10	8	11.456
10	9	-6.3715
10	10	-2.2558
11	0	1033.3
11	1	-652.94
11	2	-1022.6
11	3	754.33
11	4	-215.56
11	5	47.527
11	6	-65.882
11	7	-4.9604
11	8	31.864
11	9	-5.289
11	10	0.54407
11	11	1.7979
12	0	-1320.4
12	1	-89.703
12	2	397.56
12	3	843.99
12	4	-584.3
12	5	233.81
12	6	62.49
12	7	58.527
12	8	-17.558
12	9	-12.772
12	10	0.94325
12	11	-3.0596
12	12	-0.17033
13	0	126.96
13	1	-1557.2
13	2	773.76
13	3	898.19
13	4	-295.24
13	5	556.7
13	6	0
13	7	213.71
13	8	0
13	9	27.229
13	10	2.8388
13	11	5.0184
13	12	-1.4194
13	13	-0.2227
